ASX code,Company name,Listing date,GICs industry group,Market Cap
JAL,JAMESON RESOURCES LIMITED,18/12/07,Materials,30333189
JAN,JANISON EDUCATION GROUP LIMITED,12/9/00,Software & Services,199185024
JAT,JATCORP LIMITED,30/1/08,Retailing,36563069
JAY,JAYRIDE GROUP LIMITED,29/1/18,Retailing,31246035
JBH,JB HI-FI LIMITED,23/10/03,Retailing,5505211186
JCS,JCURVE SOLUTIONS LTD,8/12/00,Software & Services,18058889
JDR,JADAR RESOURCES LIMITED,7/12/94,Materials,17093618
JHC,JAPARA HEALTHCARE LIMITED,17/4/14,Health Care Equipment & Services,338067870
JHG,JANUS HENDERSON GROUP PLC,27/10/08,Diversified Financials,10897460418
JHX,JAMES HARDIE INDUSTRIES PLC,15/10/01,Materials,20338404500
JIN,JUMBO INTERACTIVE LIMITED,14/6/72,Consumer Services,1061628869
JLG,JOHNS LYNG GROUP LIMITED,26/10/17,Capital Goods,1146687894
JMS,JUPITER MINES LIMITED.,18/4/18,Materials,577902355
JNO,JUNO MINERALS LIMITED,14/5/21,Materials,31385340
JPR,JUPITER ENERGY LIMITED,12/11/03,Energy,5674975
JRL,JINDALEE RESOURCES LIMITED,11/7/02,Materials,133509915
JRV,JERVOIS MINING LIMITED,1/12/80,Materials,461317342
JTL,JAYEX TECHNOLOGY LIMITED,17/12/15,Health Care Equipment & Services,6613613
JXT,JAXSTA LTD,21/9/10,Software & Services,19258268
JYC,JOYCE CORPORATION LTD,17/12/86,Retailing,74106257
K2F,K2FLY LIMITED,19/2/08,Software & Services,41409962
KAI,KAIROS MINERALS LIMITED,30/5/73,Materials,48617618
KAM,K2 ASSET MANAGEMENT HOLDINGS LTD,29/11/07,Diversified Financials,19045730
KAR,KAROON ENERGY LTD,8/6/04,Energy,714363982
KAT,KATANA CAPITAL LIMITED,23/12/05,Not Applic,37054224
KAU,KAISER REEF LIMITED,28/2/20,Materials,31022697
KBC,KEYBRIDGE CAPITAL LIMITED,23/12/99,Diversified Financials,14205587
KCC,KINCORA COPPER LIMITED,30/3/21,Materials,39231409
KCN,KINGSGATE CONSOLIDATED LIMITED.,21/4/88,Materials,192292049
KED,KEYPATH EDUCATION INTERNATIONAL INC.,2/6/21,Consumer Services,682971784
KEY,KEY PETROLEUM LIMITED,26/4/07,Energy,5903784
KFE,KOGI IRON LIMITED,16/1/87,Materials,12274693
KFM,KINGFISHER MINING LTD,11/12/20,Materials,8872500
KGD,KULA GOLD LIMITED,16/11/10,Materials,10033835
KGL,KGL RESOURCES LIMITED,17/3/05,Materials,225581132
KGM,KALNORTH GOLD MINES LIMITED,20/1/05,Materials,N/A
KGN,KOGAN.COM LTD,7/7/16,Retailing,1215867434
KIN,KIN MINING NL,2/10/13,Materials,127870775
KIS,KING ISLAND SCHEELITE LIMITED,21/9/67,Materials,89864035
KKC,KKR CREDIT INCOME FUND,21/11/19,Not Applic,839900000
KKL,KOLLAKORN CORPORATION LIMITED,11/2/93,Technology Hardware & Equipment,N/A
KKO,KINETIKO ENERGY LTD,21/7/11,Energy,59815118
KLA,KIRKLAND LAKE GOLD LTD,30/11/17,Materials,11680933757
KLL,KALIUM LAKES LIMITED,22/12/16,Materials,213986144
KLO,KINGSLAND GLOBAL LTD,11/12/15,Real Estate,9315000
KLR,KAILI RESOURCES LIMITED,6/3/97,Energy,3685009
KMD,KATHMANDU HOLDINGS LIMITED,13/11/09,Retailing,967786889
KME,KIP MCGRATH EDUCATION CENTRES LIMITED,15/8/03,Consumer Services,67885130
KMT,KOPORE METALS LIMITED,1/7/11,Materials,16780111
KNH,KOON HOLDINGS LIMITED,11/7/03,Capital Goods,N/A
KNI,KUNIKO LIMITED,,Materials,0
KNM,KNEOMEDIA LIMITED,24/6/87,Media & Entertainment,6917727
KNO,KNOSYS LIMITED,9/9/15,Software & Services,30050111
KOR,KORAB RESOURCES LIMITED,31/8/05,Materials,6649860
KOV,KORVEST LTD,17/9/70,Capital Goods,63402428
KP2,KORE POTASH PLC,7/11/17,Materials,50632417
KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,21/6/17,Commercial & Professional Services,153000000
KPO,KALINA POWER LIMITED,2/8/71,Utilities,37739784
KPT,KANGAROO ISLAND PLANTATION TIMBERS LTD,8/7/02,Materials,65517216
KRM,KINGSROSE MINING LIMITED,7/12/07,Materials,39420397
KRR,KING RIVER RESOURCES LIMITED,21/9/07,Materials,40391649
KSC,K & S CORPORATION LIMITED,25/8/71,Transportation,206056693
KSL,KINA SECURITIES LIMITED,30/7/15,Banks,292674618
KSN,KINGSTON RESOURCES LIMITED,5/3/87,Materials,61003443
KSS,KLEOS SPACE S.A,24/8/18,Commercial & Professional Services,159121152
KTA,KRAKATOA RESOURCES LIMITED,28/12/12,Materials,15380871
KTD,KEYTONE DAIRY CORPORATION LIMITED,18/7/18,"Food, Beverage & Tobacco",36868025
KTG,K-TIG LIMITED,1/11/12,Capital Goods,67644504
